EmployeeNumber,Age,Age_group,Attrition,Attrition_flag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Salary_slab,MonthlyRate,NumCompaniesWorked,OverTime,OverTime_flag,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,Tenure_Group,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
487,46,40-50,No,0,Non-Travel,1144,Research & Development,7,4,Medical,3,Female,30,3,2,Manufacturing Director,3,Married,5258,Medium,16044,2,No,0,14,3,3,0,7,6-10,2,4,1,0,0,0
488,41,40-50,Yes,1,Travel_Frequently,143,Sales,4,3,Marketing,1,Male,56,3,2,Sales Executive,2,Single,9355,Medium,9558,1,No,0,18,3,3,0,8,6-10,5,3,8,7,7,7
491,50,50+,No,0,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,4,Male,100,2,3,Healthcare Representative,4,Single,10496,High,2755,6,No,0,15,3,4,0,20,10+,2,3,4,3,1,3
492,40,40-50,Yes,1,Travel_Rarely,575,Sales,22,2,Marketing,3,Male,68,2,2,Sales Executive,3,Married,6380,Medium,6110,2,Yes,1,12,3,1,2,8,6-10,6,3,6,4,1,0
493,31,30-40,No,0,Travel_Rarely,408,Research & Development,9,4,Life Sciences,3,Male,42,2,1,Research Scientist,2,Single,2657,Low,7551,0,Yes,1,16,3,4,0,3,3-5,5,3,2,2,2,2
494,21,20-30,Yes,1,Travel_Rarely,156,Sales,12,3,Life Sciences,3,Female,90,4,1,Sales Representative,2,Single,2716,Low,25422,1,No,0,15,3,4,0,1,0-2,0,3,1,0,0,0
495,29,20-30,No,0,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,4,Male,54,3,1,Research Scientist,4,Single,2201,Low,18168,9,No,0,16,3,4,0,6,6-10,4,3,3,2,1,2
496,35,30-40,No,0,Travel_Rarely,755,Research & Development,9,4,Life Sciences,3,Male,97,2,2,Healthcare Representative,2,Single,6540,Medium,19394,9,No,0,19,3,3,0,10,6-10,5,3,1,1,0,0
497,27,20-30,No,0,Travel_Rarely,1469,Research & Development,1,2,Medical,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,Low,17881,1,No,0,11,3,2,1,5,3-5,2,3,5,2,0,4
498,28,20-30,No,0,Travel_Rarely,304,Sales,9,4,Life Sciences,2,Male,92,3,2,Sales Executive,4,Single,5253,Medium,20750,1,No,0,16,3,4,0,7,6-10,1,3,7,5,0,7
499,49,40-50,No,0,Travel_Rarely,1261,Research & Development,7,3,Other,2,Male,31,2,3,Healthcare Representative,3,Single,10965,High,12066,8,No,0,24,4,3,0,26,10+,2,3,5,2,0,0
500,51,50+,No,0,Travel_Rarely,1178,Sales,14,2,Life Sciences,3,Female,87,3,2,Sales Executive,4,Married,4936,Low,14862,4,No,0,11,3,3,1,18,10+,2,2,7,7,0,7
501,36,30-40,No,0,Travel_Rarely,329,Research & Development,2,3,Life Sciences,4,Female,96,3,1,Research Scientist,3,Married,2543,Low,11868,4,No,0,13,3,2,1,6,6-10,3,3,2,2,2,2
502,34,30-40,Yes,1,Non-Travel,1362,Sales,19,3,Marketing,1,Male,67,4,2,Sales Executive,4,Single,5304,Medium,4652,8,Yes,1,13,3,2,0,9,6-10,3,2,5,2,0,4
505,55,50+,No,0,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,3,Female,97,3,4,Manager,4,Single,16659,High,23258,2,Yes,1,13,3,3,0,30,10+,2,3,5,4,1,2
507,24,20-30,No,0,Travel_Rarely,1371,Sales,10,4,Marketing,4,Female,77,3,2,Sales Executive,3,Divorced,4260,Low,5915,1,Yes,1,12,3,4,1,5,3-5,2,4,5,2,0,3
508,30,30-40,No,0,Travel_Rarely,202,Sales,2,1,Technical Degree,3,Male,72,3,1,Sales Representative,2,Married,2476,Low,17434,1,No,0,18,3,1,1,1,0-2,3,3,1,0,0,0
510,26,20-30,Yes,1,Travel_Frequently,575,Research & Development,3,1,Technical Degree,3,Male,73,3,1,Research Scientist,1,Single,3102,Low,6582,0,No,0,22,4,3,0,7,6-10,2,3,6,4,0,4
511,22,20-30,No,0,Travel_Rarely,253,Research & Development,11,3,Medical,1,Female,43,3,1,Research Scientist,2,Married,2244,Low,24440,1,No,0,13,3,4,1,2,0-2,1,3,2,1,1,2
513,36,30-40,No,0,Travel_Rarely,164,Sales,2,2,Medical,2,Male,61,2,3,Sales Executive,3,Married,7596,Medium,3809,1,No,0,13,3,2,2,10,6-10,2,3,10,9,9,0
514,30,30-40,Yes,1,Travel_Frequently,464,Research & Development,4,3,Technical Degree,3,Male,40,3,1,Research Scientist,4,Single,2285,Low,3427,9,Yes,1,23,4,3,0,3,3-5,4,3,1,0,0,0
515,37,30-40,No,0,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,Low,26914,1,No,0,12,3,3,1,18,10+,2,2,18,7,12,17
516,40,40-50,No,0,Travel_Rarely,759,Sales,2,2,Marketing,4,Female,46,3,2,Sales Executive,2,Divorced,5715,Medium,22553,7,No,0,12,3,3,2,8,6-10,5,3,5,4,1,3
517,42,40-50,No,0,Travel_Rarely,201,Research & Development,1,4,Life Sciences,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576,Low,20490,3,No,0,16,3,2,1,8,6-10,5,3,5,2,1,2
518,37,30-40,No,0,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,3,Male,49,3,2,Manufacturing Director,2,Single,4197,Low,21123,2,Yes,1,12,3,4,0,18,10+,2,2,1,0,0,1
520,43,40-50,No,0,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,Male,59,2,4,Research Director,2,Divorced,14336,High,4345,1,No,0,11,3,3,1,25,10+,3,3,25,10,3,9
521,40,40-50,No,0,Travel_Rarely,555,Research & Development,2,3,Medical,2,Female,78,2,2,Laboratory Technician,3,Married,3448,Low,13436,6,No,0,22,4,2,1,20,10+,3,3,1,0,0,0
522,54,50+,No,0,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,86,3,5,Research Director,1,Married,19406,High,8509,4,No,0,11,3,3,1,24,10+,4,2,4,2,1,2
523,34,30-40,No,0,Non-Travel,1381,Sales,4,4,Marketing,3,Female,72,3,2,Sales Executive,3,Married,6538,Medium,12740,9,No,0,15,3,1,1,6,6-10,3,3,3,2,1,2
524,31,30-40,No,0,Travel_Rarely,480,Research & Development,7,2,Medical,2,Female,31,3,2,Manufacturing Director,1,Married,4306,Low,4156,1,No,0,12,3,2,1,13,10+,5,1,13,10,3,12
525,43,40-50,No,0,Travel_Frequently,313,Research & Development,21,3,Medical,4,Male,61,3,1,Laboratory Technician,4,Married,2258,Low,15238,7,No,0,20,4,1,1,8,6-10,1,3,3,2,1,2
526,43,40-50,No,0,Travel_Rarely,1473,Research & Development,8,4,Other,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,Low,2227,4,Yes,1,14,3,4,0,8,6-10,3,3,5,2,0,2
527,25,20-30,No,0,Travel_Rarely,891,Sales,4,2,Life Sciences,2,Female,99,2,2,Sales Executive,4,Single,4487,Low,12090,1,Yes,1,11,3,2,0,5,3-5,3,3,5,4,1,3
529,37,30-40,No,0,Non-Travel,1063,Research & Development,25,5,Medical,2,Female,72,3,2,Research Scientist,3,Married,4449,Low,23866,3,Yes,1,15,3,1,2,15,10+,2,3,13,11,10,7
530,31,30-40,No,0,Travel_Rarely,329,Research & Development,1,2,Life Sciences,4,Male,98,2,1,Laboratory Technician,1,Married,2218,Low,16193,1,No,0,12,3,3,1,4,3-5,3,3,4,2,3,2
531,39,30-40,No,0,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,2,Male,52,3,5,Manager,3,Divorced,19197,High,8213,1,Yes,1,14,3,3,1,21,10+,3,3,21,8,1,6
532,56,50+,No,0,Travel_Frequently,906,Sales,6,3,Life Sciences,3,Female,86,4,4,Sales Executive,1,Married,13212,High,18256,9,No,0,11,3,4,3,36,10+,0,2,7,7,7,7
533,30,30-40,No,0,Travel_Rarely,1082,Sales,12,3,Technical Degree,2,Female,83,3,2,Sales Executive,3,Single,6577,Medium,19558,0,No,0,11,3,2,0,6,6-10,6,3,5,4,4,4
534,41,40-50,No,0,Travel_Rarely,645,Sales,1,3,Marketing,2,Male,49,4,3,Sales Executive,1,Married,8392,Medium,19566,1,No,0,16,3,3,1,10,6-10,2,3,10,7,0,7
536,28,20-30,No,0,Travel_Rarely,1300,Research & Development,17,2,Medical,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,Low,13535,1,No,0,12,3,4,1,10,6-10,2,3,10,0,1,8
538,25,20-30,Yes,1,Travel_Rarely,688,Research & Development,3,3,Medical,1,Male,91,3,1,Laboratory Technician,1,Married,4031,Low,9396,5,No,0,13,3,3,1,6,6-10,5,3,2,2,0,2
543,52,50+,No,0,Travel_Rarely,319,Research & Development,3,3,Medical,4,Male,39,2,3,Manufacturing Director,3,Married,7969,Medium,19609,2,Yes,1,14,3,3,0,28,10+,4,3,5,4,0,4
544,45,40-50,No,0,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,Male,69,3,1,Research Scientist,4,Married,2654,Low,9655,3,No,0,21,4,4,2,8,6-10,3,2,2,2,0,2
546,52,50+,No,0,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,4,Female,30,3,4,Manager,4,Married,16555,High,10310,2,No,0,13,3,4,0,31,10+,2,1,5,2,1,4
547,42,40-50,No,0,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,Female,92,3,2,Research Scientist,3,Divorced,4556,Low,12932,2,No,0,11,3,2,1,19,10+,3,3,5,4,0,2
548,30,30-40,No,0,Travel_Rarely,317,Research & Development,2,3,Life Sciences,3,Female,43,1,2,Manufacturing Director,4,Single,6091,Medium,24793,2,No,0,20,4,3,0,11,10+,2,3,5,4,0,2
549,60,50+,No,0,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,Female,41,3,5,Manager,1,Married,19566,High,3854,5,No,0,11,3,4,0,33,10+,5,1,29,8,11,10
550,46,40-50,No,0,Travel_Rarely,1485,Research & Development,18,3,Medical,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,Low,26314,2,No,0,14,3,3,1,19,10+,5,2,10,7,0,8
551,42,40-50,No,0,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,4,Female,88,2,2,Healthcare Representative,4,Married,4523,Low,4386,0,No,0,11,3,4,3,7,6-10,4,4,6,5,0,4
554,24,20-30,Yes,1,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,3202,Low,21972,1,Yes,1,16,3,2,0,6,6-10,4,3,5,3,1,4
555,34,30-40,Yes,1,Travel_Frequently,296,Sales,6,2,Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,2351,Low,12253,0,No,0,16,3,4,1,3,3-5,3,2,2,2,1,0
556,38,30-40,No,0,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,4,Male,42,3,1,Laboratory Technician,4,Married,1702,Low,12106,1,Yes,1,23,4,3,1,1,0-2,3,3,1,0,0,0
558,40,40-50,No,0,Travel_Rarely,1398,Sales,2,4,Life Sciences,3,Female,79,3,5,Manager,3,Married,18041,High,13022,0,No,0,14,3,4,0,21,10+,2,3,20,15,1,12
560,26,20-30,No,0,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,Female,90,3,1,Research Scientist,4,Divorced,2886,Low,3032,1,No,0,22,4,2,2,3,3-5,3,1,3,2,0,2
562,30,30-40,No,0,Non-Travel,1400,Research & Development,3,3,Life Sciences,3,Male,53,3,1,Laboratory Technician,4,Married,2097,Low,16734,4,No,0,15,3,3,1,9,6-10,3,1,5,3,1,4
564,29,20-30,No,0,Travel_Rarely,986,Research & Development,3,4,Medical,2,Male,93,2,3,Research Director,3,Married,11935,High,21526,1,No,0,18,3,3,0,10,6-10,2,3,10,2,0,7
565,29,20-30,Yes,1,Travel_Rarely,408,Research & Development,25,5,Technical Degree,3,Female,71,2,1,Research Scientist,2,Married,2546,Low,18300,5,No,0,16,3,2,0,6,6-10,2,4,2,2,1,1
566,19,20-30,Yes,1,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,Male,52,2,1,Human Resources,4,Single,2564,Low,18437,1,No,0,12,3,3,0,1,0-2,3,4,1,0,0,0
567,30,30-40,No,0,Non-Travel,1398,Sales,22,4,Other,3,Female,69,3,3,Sales Executive,1,Married,8412,Medium,2890,0,No,0,11,3,3,0,10,6-10,3,3,9,8,7,8
568,57,50+,No,0,Travel_Rarely,210,Sales,29,3,Marketing,1,Male,56,2,4,Manager,4,Divorced,14118,High,22102,3,No,0,12,3,3,1,32,10+,3,2,1,0,0,0
569,50,50+,No,0,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,2,Male,88,2,4,Manager,3,Married,17046,High,9314,0,No,0,15,3,2,1,28,10+,2,3,27,10,15,7
571,30,30-40,No,0,Non-Travel,1116,Research & Development,2,3,Medical,3,Female,49,3,1,Laboratory Technician,4,Single,2564,Low,7181,0,No,0,14,3,3,0,12,10+,2,2,11,7,6,7
573,60,50+,No,0,Travel_Frequently,1499,Sales,28,3,Marketing,3,Female,80,2,3,Sales Executive,1,Married,10266,High,2845,4,No,0,19,3,4,0,22,10+,5,4,18,13,13,11
574,47,40-50,No,0,Travel_Rarely,983,Research & Development,2,2,Medical,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,Medium,7389,5,No,0,13,3,3,3,20,10+,2,3,5,0,0,4
575,46,40-50,No,0,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,Male,51,3,4,Research Director,3,Married,17861,High,2288,6,No,0,13,3,3,0,26,10+,2,1,3,2,0,1
577,35,30-40,No,0,Travel_Rarely,144,Research & Development,22,3,Life Sciences,4,Male,46,1,1,Laboratory Technician,3,Single,4230,Low,19225,0,No,0,15,3,3,0,6,6-10,2,3,5,4,4,3
578,54,50+,No,0,Travel_Rarely,548,Research & Development,8,4,Life Sciences,3,Female,42,3,2,Laboratory Technician,3,Single,3780,Low,23428,7,No,0,11,3,3,0,19,10+,3,3,1,0,0,0
579,34,30-40,No,0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,4,Male,62,2,1,Research Scientist,3,Divorced,2768,Low,8416,3,No,0,12,3,3,1,14,10+,3,3,7,3,5,7
580,46,40-50,No,0,Travel_Rarely,1125,Sales,10,3,Marketing,3,Female,94,2,3,Sales Executive,4,Married,9071,Medium,11563,2,Yes,1,19,3,3,1,15,10+,3,3,3,2,1,2
581,31,30-40,No,0,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,High,14394,1,No,0,25,4,4,1,13,10+,6,4,13,8,0,8
582,33,30-40,Yes,1,Travel_Rarely,1277,Research & Development,15,1,Medical,2,Male,56,3,3,Manager,3,Married,13610,High,24619,7,Yes,1,12,3,4,0,15,10+,2,4,7,6,7,7
584,33,30-40,Yes,1,Travel_Rarely,587,Research & Development,10,1,Medical,1,Male,38,1,1,Laboratory Technician,4,Divorced,3408,Low,6705,7,No,0,13,3,1,3,8,6-10,2,3,4,3,1,3
585,30,30-40,No,0,Travel_Rarely,413,Sales,7,1,Marketing,4,Male,57,3,1,Sales Representative,2,Single,2983,Low,18398,0,No,0,14,3,1,0,4,3-5,3,3,3,2,1,2
586,35,30-40,No,0,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,4,Male,72,3,3,Healthcare Representative,3,Married,7632,Medium,14295,4,Yes,1,12,3,3,0,10,6-10,2,3,8,7,0,0
587,31,30-40,Yes,1,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,Male,66,3,3,Healthcare Representative,3,Married,9824,Medium,22908,3,No,0,12,3,1,0,12,10+,2,3,1,0,0,0
590,34,30-40,Yes,1,Travel_Frequently,988,Human Resources,23,3,Human Resources,2,Female,43,3,3,Human Resources,1,Divorced,9950,Medium,11533,9,Yes,1,15,3,3,3,11,10+,2,3,3,2,0,2
591,42,40-50,No,0,Travel_Frequently,1474,Research & Development,5,2,Other,2,Male,97,3,1,Laboratory Technician,3,Married,2093,Low,9260,4,No,0,17,3,4,1,8,6-10,4,3,2,2,2,0
592,36,30-40,No,0,Non-Travel,635,Sales,10,4,Medical,2,Male,32,3,3,Sales Executive,4,Single,9980,Medium,15318,1,No,0,14,3,4,0,10,6-10,3,2,10,3,9,7
593,22,20-30,Yes,1,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,3,Male,99,2,1,Laboratory Technician,3,Single,3894,Low,9129,5,No,0,16,3,3,0,4,3-5,3,3,2,2,1,2
595,48,40-50,No,0,Travel_Rarely,163,Sales,2,5,Marketing,2,Female,37,3,2,Sales Executive,4,Married,4051,Low,19658,2,No,0,14,3,1,1,14,10+,2,3,9,7,6,7
597,55,50+,No,0,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,Female,83,3,4,Manager,2,Single,16835,High,9873,3,No,0,23,4,4,0,37,10+,2,3,10,9,7,7
599,41,40-50,No,0,Non-Travel,267,Sales,10,2,Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,6230,Medium,13430,7,No,0,14,3,4,0,16,10+,3,3,14,3,1,10
600,35,30-40,No,0,Travel_Rarely,619,Sales,1,3,Marketing,2,Male,85,3,2,Sales Executive,3,Married,4717,Low,18659,9,No,0,11,3,3,0,15,10+,2,3,11,9,6,9
601,40,40-50,No,0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,13237,High,20364,7,No,0,15,3,3,0,22,10+,3,3,20,6,5,13
602,39,30-40,No,0,Travel_Frequently,443,Research & Development,8,1,Life Sciences,3,Female,48,3,1,Laboratory Technician,3,Married,3755,Low,17872,1,No,0,11,3,1,1,8,6-10,3,3,8,3,0,7
604,31,30-40,No,0,Travel_Rarely,828,Sales,2,1,Life Sciences,2,Male,77,3,2,Sales Executive,4,Single,6582,Medium,8346,4,Yes,1,13,3,3,0,10,6-10,2,4,6,5,0,5
605,42,40-50,No,0,Travel_Rarely,319,Research & Development,24,3,Medical,4,Male,56,3,3,Manufacturing Director,1,Married,7406,Medium,6950,1,Yes,1,21,4,4,1,10,6-10,5,2,10,9,5,8
606,45,40-50,No,0,Travel_Rarely,561,Sales,2,3,Other,4,Male,61,3,2,Sales Executive,2,Married,4805,Low,16177,0,No,0,19,3,2,1,9,6-10,3,4,8,7,3,7
608,26,20-30,Yes,1,Travel_Frequently,426,Human Resources,17,4,Life Sciences,2,Female,58,3,1,Human Resources,3,Divorced,2741,Low,22808,0,Yes,1,11,3,2,1,8,6-10,2,2,7,7,1,0
611,29,20-30,No,0,Travel_Rarely,232,Research & Development,19,3,Technical Degree,4,Male,34,3,2,Manufacturing Director,4,Divorced,4262,Low,22645,4,No,0,12,3,2,2,8,6-10,2,4,3,2,1,2
612,33,30-40,No,0,Travel_Rarely,922,Research & Development,1,5,Medical,1,Female,95,4,4,Research Director,3,Divorced,16184,High,22578,4,No,0,19,3,3,1,10,6-10,2,3,6,1,0,5
613,31,30-40,No,0,Travel_Rarely,688,Sales,7,3,Life Sciences,3,Male,44,2,3,Manager,4,Divorced,11557,High,25291,9,No,0,21,4,3,1,10,6-10,3,2,5,4,0,1
614,18,20-30,Yes,1,Travel_Frequently,1306,Sales,5,3,Marketing,2,Male,69,3,1,Sales Representative,2,Single,1878,Low,8059,1,Yes,1,14,3,4,0,0,0-2,3,3,0,0,0,0
615,40,40-50,No,0,Non-Travel,1094,Sales,28,3,Other,3,Male,58,1,3,Sales Executive,1,Divorced,10932,High,11373,3,No,0,15,3,3,1,20,10+,2,3,1,0,0,1
616,41,40-50,No,0,Non-Travel,509,Research & Development,2,4,Other,1,Female,62,2,2,Healthcare Representative,3,Single,6811,Medium,2112,2,Yes,1,17,3,1,0,10,6-10,3,3,8,7,0,7
618,26,20-30,No,0,Travel_Rarely,775,Sales,29,2,Medical,1,Male,45,3,2,Sales Executive,3,Divorced,4306,Low,4267,5,No,0,12,3,1,2,8,6-10,5,3,0,0,0,0
620,35,30-40,No,0,Travel_Rarely,195,Sales,1,3,Medical,1,Female,80,3,2,Sales Executive,3,Single,4859,Low,6698,1,No,0,16,3,4,0,5,3-5,3,3,5,4,0,3
621,34,30-40,No,0,Travel_Rarely,258,Sales,21,4,Life Sciences,4,Male,74,4,2,Sales Executive,4,Single,5337,Medium,19921,1,No,0,12,3,4,0,10,6-10,3,3,10,7,5,7
622,26,20-30,Yes,1,Travel_Rarely,471,Research & Development,24,3,Technical Degree,3,Male,66,1,1,Laboratory Technician,4,Single,2340,Low,23213,1,Yes,1,18,3,2,0,1,0-2,3,1,1,0,0,0
623,37,30-40,No,0,Travel_Rarely,799,Research & Development,1,3,Technical Degree,2,Female,59,3,3,Manufacturing Director,4,Single,7491,Medium,23848,4,No,0,17,3,4,0,12,10+,3,4,6,5,1,2
624,46,40-50,No,0,Travel_Frequently,1034,Research & Development,18,1,Medical,1,Female,86,3,3,Healthcare Representative,3,Married,10527,High,8984,5,No,0,11,3,4,0,28,10+,3,2,2,2,1,2
625,41,40-50,No,0,Travel_Rarely,1276,Sales,2,5,Life Sciences,2,Female,91,3,4,Manager,1,Married,16595,High,5626,7,No,0,16,3,2,1,22,10+,2,3,18,16,11,8
626,37,30-40,No,0,Non-Travel,142,Sales,9,4,Medical,1,Male,69,3,3,Sales Executive,2,Divorced,8834,Medium,24666,1,No,0,13,3,4,1,9,6-10,6,3,9,5,7,7
630,52,50+,No,0,Travel_Rarely,956,Research & Development,6,2,Technical Degree,4,Male,78,3,2,Research Scientist,1,Divorced,5577,Medium,22087,3,Yes,1,12,3,2,2,18,10+,3,3,10,9,6,9
631,32,30-40,Yes,1,Non-Travel,1474,Sales,11,4,Other,4,Male,60,4,2,Sales Executive,3,Married,4707,Low,23914,8,No,0,12,3,4,0,6,6-10,2,3,4,2,1,2
632,24,20-30,No,0,Travel_Frequently,535,Sales,24,3,Medical,4,Male,38,3,1,Sales Representative,4,Married,2400,Low,5530,0,No,0,13,3,3,2,3,3-5,3,3,2,2,2,1
634,38,30-40,No,0,Travel_Rarely,1495,Research & Development,10,3,Medical,3,Female,76,3,2,Healthcare Representative,3,Married,9824,Medium,22174,3,No,0,19,3,3,1,18,10+,4,3,1,0,0,0
635,37,30-40,No,0,Travel_Rarely,446,Research & Development,1,4,Life Sciences,2,Female,65,3,2,Manufacturing Director,2,Married,6447,Medium,15701,6,No,0,12,3,2,1,8,6-10,2,2,6,5,4,3
638,49,40-50,No,0,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,4,Male,58,2,5,Research Director,3,Divorced,19502,High,2125,1,Yes,1,17,3,3,1,31,10+,5,3,31,9,0,9
639,24,20-30,No,0,Travel_Rarely,691,Research & Development,23,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,2725,Low,21630,1,Yes,1,11,3,2,2,6,6-10,3,3,6,5,1,4
641,26,20-30,No,0,Travel_Rarely,703,Sales,28,2,Marketing,1,Male,66,3,2,Sales Executive,2,Married,6272,Medium,7428,1,No,0,20,4,4,2,6,6-10,5,4,5,3,1,4
643,24,20-30,No,0,Travel_Rarely,823,Research & Development,17,2,Other,4,Male,94,2,1,Laboratory Technician,2,Married,2127,Low,9100,1,No,0,21,4,4,1,1,0-2,2,3,1,0,0,0
644,50,50+,No,0,Travel_Frequently,1246,Human Resources,3,3,Medical,1,Male,99,3,5,Manager,2,Married,18200,High,7999,1,No,0,11,3,3,1,32,10+,2,3,32,5,10,7
645,25,20-30,No,0,Travel_Rarely,622,Sales,13,1,Medical,2,Male,40,3,1,Sales Representative,3,Married,2096,Low,26376,1,No,0,11,3,3,0,7,6-10,1,3,7,4,0,6
647,24,20-30,Yes,1,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,Female,55,3,1,Laboratory Technician,3,Married,2886,Low,14168,1,Yes,1,16,3,4,1,6,6-10,4,3,6,3,1,2
648,30,30-40,Yes,1,Travel_Frequently,448,Sales,12,4,Life Sciences,2,Male,74,2,1,Sales Representative,1,Married,2033,Low,14470,1,No,0,18,3,3,1,1,0-2,2,4,1,0,0,0
649,34,30-40,No,0,Travel_Rarely,254,Research & Development,1,2,Life Sciences,2,Male,83,2,1,Research Scientist,4,Married,3622,Low,22794,1,Yes,1,13,3,4,1,6,6-10,3,3,6,5,1,3
650,31,30-40,Yes,1,Travel_Rarely,1365,Sales,13,4,Medical,2,Male,46,3,2,Sales Executive,1,Divorced,4233,Low,11512,2,No,0,17,3,3,0,9,6-10,2,1,3,1,1,2
652,35,30-40,No,0,Travel_Rarely,538,Research & Development,25,2,Other,1,Male,54,2,2,Laboratory Technician,4,Single,3681,Low,14004,4,No,0,14,3,4,0,9,6-10,3,3,3,2,0,2
653,31,30-40,No,0,Travel_Rarely,525,Sales,6,4,Medical,1,Male,66,4,2,Sales Executive,4,Divorced,5460,Medium,6219,4,No,0,22,4,4,2,13,10+,4,4,7,7,5,7
655,27,20-30,No,0,Travel_Rarely,798,Research & Development,6,4,Medical,1,Female,66,2,1,Research Scientist,3,Divorced,2187,Low,5013,0,No,0,12,3,3,2,6,6-10,5,2,5,3,0,3
656,37,30-40,No,0,Travel_Rarely,558,Sales,2,3,Marketing,4,Male,75,3,2,Sales Executive,3,Married,9602,Medium,3010,4,Yes,1,11,3,3,1,17,10+,3,2,3,0,1,0
657,20,20-30,No,0,Travel_Rarely,959,Research & Development,1,3,Life Sciences,4,Female,83,2,1,Research Scientist,2,Single,2836,Low,11757,1,No,0,13,3,4,0,1,0-2,0,4,1,0,0,0
659,42,40-50,No,0,Travel_Rarely,622,Research & Development,2,4,Life Sciences,3,Female,81,3,2,Healthcare Representative,4,Married,4089,Low,5718,1,No,0,13,3,2,2,10,6-10,4,3,10,2,2,2
661,43,40-50,No,0,Travel_Rarely,782,Research & Development,6,4,Other,2,Male,50,2,4,Research Director,4,Divorced,16627,High,2671,4,Yes,1,14,3,3,1,21,10+,3,2,1,0,0,0
662,38,30-40,No,0,Travel_Rarely,362,Research & Development,1,1,Life Sciences,3,Female,43,3,1,Research Scientist,1,Single,2619,Low,14561,3,No,0,17,3,4,0,8,6-10,3,2,0,0,0,0
663,43,40-50,No,0,Travel_Frequently,1001,Research & Development,9,5,Medical,4,Male,72,3,2,Laboratory Technician,3,Divorced,5679,Medium,19627,3,Yes,1,13,3,2,1,10,6-10,3,3,8,7,4,7
664,48,40-50,No,0,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,4,Female,40,2,4,Manager,1,Married,15402,High,17997,7,No,0,11,3,1,1,21,10+,3,1,3,2,0,2
665,44,40-50,No,0,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,Female,50,2,2,Human Resources,3,Single,5985,Medium,26894,4,No,0,11,3,2,0,10,6-10,1,4,2,2,0,2
666,34,30-40,No,0,Travel_Rarely,204,Sales,14,3,Technical Degree,3,Female,31,3,1,Sales Representative,3,Divorced,2579,Low,2912,1,Yes,1,18,3,4,2,8,6-10,3,3,8,2,0,6
667,27,20-30,Yes,1,Travel_Rarely,1420,Sales,2,1,Marketing,3,Male,85,3,1,Sales Representative,1,Divorced,3041,Low,16346,0,No,0,11,3,2,1,5,3-5,3,3,4,3,0,2
669,21,20-30,No,0,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,3447,Low,24444,1,No,0,11,3,3,0,3,3-5,2,3,3,2,1,2
